species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,culmen_area_mm2,flipper_to_mass_ratio
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,FEMALE,674.5,0.04543478260869565
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,MALE,832.9300000000001,0.03666666666666667
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,FEMALE,623.7600000000001,0.045263157894736845
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,MALE,741.28,0.03747899159663866
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,FEMALE,711.95,0.04583783783783784
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,MALE,819.0,0.04055045871559633
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,FEMALE,692.04,0.04486772486772487
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,MALE,795.0,0.041869158878504675
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,FEMALE,619.62,0.04463157894736842
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,MALE,878.84,0.04071428571428572
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,FEMALE,624.96,0.04739130434782609
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,MALE,728.4599999999999,0.041132075471698115
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,FEMALE,665.0,0.043487179487179485
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,MALE,885.7,0.04144144144144144
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,FEMALE,712.5,0.04404040404040404
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,MALE,892.6200000000001,0.042222222222222223
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,FEMALE,659.75,0.04463157894736842
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,MALE,796.95,0.03964601769911504
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,FEMALE,654.15,0.044123711340206186
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE,797.56,0.04346153846153846
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,MALE,780.52,0.04385786802030457
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,FEMALE,684.74,0.04553846153846154
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,FEMALE,696.96,0.04389189189189189
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,MALE,843.15,0.04285714285714286
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,FEMALE,727.5,0.045154639175257735
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,MALE,950.3,0.04071428571428572
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,FEMALE,731.6,0.04321608040201005
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,MALE,736.5,0.04145454545454545
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,MALE,652.74,0.045714285714285714
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,MALE,753.48,0.03909090909090909
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,FEMALE,612.99,0.04468085106382979
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE,843.72,0.039818181818181815
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,FEMALE,606.1999999999999,0.04546448087431694
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,MALE,726.3100000000001,0.038
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE,767.5999999999999,0.0432
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,MALE,791.8199999999999,0.038487394957983194
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,FEMALE,661.1999999999999,0.045806451612903226
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,MALE,839.45,0.04181818181818182
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,FEMALE,651.4200000000001,0.0496
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,MALE,881.6,0.039316239316239315
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,.,698.65,0.04451282051282051
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,MALE,790.56,0.037
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,FEMALE,646.64,0.04345177664974619
Gentoo,Biscoe,44.45,17.3,197.0,4050.0,MALE,768.9850000000001,0.04864197530864198
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,FEMALE,669.24,0.0443298969072165
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,MALE,791.28,0.03860869565217391
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,FEMALE,668.96,0.040769230769230766
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE,803.3900000000001,0.03944444444444444
